Référence Chantier;Code postal arrondissement - Commune;Date début du chantier;Date fin du chantier;Responsable du chantier;Maîtrise d'ouvrage principale;Surface (m2);Synthèse - Nature du chantier;Encombrement espace public;Impact stationnement;Identifiant demande CITE;Identifiant Chantier CITE;geo_shape;geo_point_2d
EC412008;75006;2024-09-09;2025-01-31;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;20.08;Construction ou réhabilitation d'immeuble;EMPRISE_TROTTOIR;;881271;269016;"{""coordinates"": [[[2.3287799491655834, 48.84570039308071], [2.3289946443364538, 48.84581594684431], [2.3290008814254737, 48.84580788576876], [2.328788471855479, 48.84569335752061], [2.3287799491655834, 48.84570039308071]]], ""type"": ""Polygon""}";48.84575423099085, 2.328890662771802
EC412195;75008;2024-10-07;2025-04-04;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;124.76;Construction ou réhabilitation d'immeuble;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;DEUX_ROUES,GIG_GIC,STATIONNEMENT_PAYANT,TRANSPORT_DE_FONDS,VELIB;880784;268583;"{""coordinates"": [[[2.3066569085867084, 48.86949680026409], [2.3066180108051144, 48.869307598228836], [2.3065737828814514, 48.869311440322356], [2.3065383030256594, 48.86933218141775], [2.3065714068089718, 48.86948992948942], [2.306613388452904, 48.86949928036731], [2.3066569085867084, 48.86949680026409]]], ""type"": ""Polygon""}";48.86940557480858, 2.306597124476653
EC412444;75015;2024-09-15;2024-12-15;Ville de Paris (Tvx sur espace ou édifice public);Ville de Paris (autres);161.08;Travaux sur édifice public (VdP*);EMPRISE_TROTTOIR;;881613;269308;"{""coordinates"": [[[2.293097838077168, 48.82784405797193], [2.293132432952588, 48.82783606640408], [2.293159009776609, 48.82780890031922], [2.2931871886043917, 48.827765349794504], [2.2931972641541836, 48.82773444368298], [2.2930503693170405, 48.82768257247336], [2.293035073664667, 48.82769159007813], [2.293002571520173, 48.8277487756981], [2.2930240100392387, 48.827795351824015], [2.293097838077168, 48.82784405797193]]], ""type"": ""Polygon""}";48.82776189725592, 2.2930954986332877
EC412483;75008;2024-09-09;2024-11-29;Opérateurs de réseau (gaz-électricité-RATP-etc);ENEDIS;17.74;Travaux sur réseau électrique;EMPRISE_TROTTOIR;;881646;269337;"{""coordinates"": [[[2.3207083261097834, 48.86694837693628], [2.3207338866098604, 48.86693998451505], [2.320664528687508, 48.866866447965606], [2.320644608058735, 48.866872311048255], [2.3207083261097834, 48.86694837693628]]], ""type"": ""Polygon""}";48.866908476006806, 2.320689326618828
EC412527;75008;2024-09-16;2024-10-31;Ville de Paris (Tvx sur espace ou édifice public);Direction de la Voirie et des Déplacements;8.39;Aménagement de voirie (VdP*);EMPRISE_TROTTOIR;;881681;269361;"{""coordinates"": [[[2.3021631574208796, 48.864939557684444], [2.302123429559087, 48.864968356127704], [2.3021486363160877, 48.86498011460646], [2.30217480612837, 48.86495875116615], [2.302174425399166, 48.86494850355961], [2.3021631574208796, 48.864939557684444]]], ""type"": ""Polygon""}";48.864960757846326, 2.3021527321359563
EC412861;75014;2024-09-16;2024-12-20;Opérateurs de réseau (gaz-électricité-RATP-etc);ENEDIS;22.17;Travaux sur réseau électrique;EMPRISE_CHAUSSEE;;881930;269582;"{""coordinates"": [[[2.305366306782659, 48.82647014130919], [2.305376893690897, 48.82648443369209], [2.3055188916494287, 48.82643858147012], [2.30550531430775, 48.8264222805056], [2.305366306782659, 48.82647014130919]]], ""type"": ""Polygon""}";48.826453262006474, 2.3054436806637786
EC412875;75014;2024-09-16;2024-12-20;Opérateurs de réseau (gaz-électricité-RATP-etc);ENEDIS;24.38;Travaux sur réseau électrique;EMPRISE_CHAUSSEE;;881930;269582;"{""coordinates"": [[[2.3140339936521896, 48.82554372258301], [2.3139786346090685, 48.82542671407796], [2.3139527140381224, 48.825431118939775], [2.314013244626285, 48.825548157122306], [2.3140339936521896, 48.82554372258301]]], ""type"": ""Polygon""}";48.82548546075016, 2.3139936557766796
EC412884;75006;2024-10-23;2024-11-15;Opérateurs de réseau (gaz-électricité-RATP-etc);GRDF;1.51;Travaux sur réseau de gaz;EMPRISE_TROTTOIR;;881933;269586;"{""coordinates"": [[[2.3384515922451947, 48.855588118188415], [2.338435226523099, 48.855578667238674], [2.33842746941867, 48.85558570765798], [2.3384438383614605, 48.855594905008864], [2.3384515922451947, 48.855588118188415]]], ""type"": ""Polygon""}";48.85558682596823, 2.3384395076677995
EC412933;75009;2024-09-30;2024-12-02;Opérateurs de réseau (gaz-électricité-RATP-etc);GRDF;28.68;Travaux sur réseau de gaz;EMPRISE_TROTTOIR;;881969;269617;"{""coordinates"": [[[2.3406189408793683, 48.87562843886148], [2.3405996979760264, 48.87562150240188], [2.3405101179217684, 48.87571754553075], [2.3405124591678828, 48.875750799712904], [2.34053881087939, 48.87574138223814], [2.34054115852236, 48.875719537691474], [2.3406189408793683, 48.87562843886148]]], ""type"": ""Polygon""}";48.87568682769564, 2.340556364161897
EC413072;75003;2024-10-11;2024-11-07;Opérateurs de réseau (gaz-électricité-RATP-etc);GRDF;0.99;Travaux sur réseau de gaz;EMPRISE_TROTTOIR;;882047;269697;"{""coordinates"": [[[2.3613495524026002, 48.862965729889794], [2.361341972314733, 48.86295860619638], [2.361330787780374, 48.8629638589414], [2.361338366121606, 48.862971236241506], [2.3613495524026002, 48.862965729889794]]], ""type"": ""Polygon""}";48.86296487780938, 2.36134015805788
EC413146;75020;2024-10-14;2024-12-20;Opérateurs de réseau (gaz-électricité-RATP-etc);GRDF;315.86;Travaux sur réseau de gaz;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;;882094;269737;"{""coordinates"": [[[2.408027041862806, 48.86632693605434], [2.408037886501698, 48.86634452139249], [2.4080835847407, 48.866331769055414], [2.4080793445234554, 48.86631011899919], [2.408036922356472, 48.86606492491146], [2.408006286715018, 48.86590608059719], [2.40799816940897, 48.86586118683077], [2.407994616402965, 48.86583976769386], [2.40797892877779, 48.865793015316456], [2.4079573006423782, 48.86575260896158], [2.407924555143888, 48.86571875054964], [2.4078947634916017, 48.8656983392654], [2.4078839436833546, 48.865678705332115], [2.407816661982885, 48.865647180679744], [2.407794506062549, 48.8656532180337], [2.4075440955491763, 48.86555043346567], [2.407516243823899, 48.86554141641788], [2.4074687061023217, 48.86553389463283], [2.407415886446054, 48.86553545518196], [2.407358123443041, 48.86554700806728], [2.407307513294781, 48.865566793821706], [2.40728143301425, 48.86558419547966], [2.40705690789108, 48.86575407194537], [2.407038058054209, 48.86577287546491], [2.4070274903125695, 48.865791720914295], [2.407037586411708, 48.86581431106286], [2.407065597496662, 48.86580921298748], [2.407064262106347, 48.8658053356176], [2.407061611917291, 48.865795532286015], [2.407064529002933, 48.86578188668067], [2.407078513016653, 48.865766017876446], [2.4071161349192858, 48.86573524001522], [2.407301643129539, 48.86559750145894], [2.4073270219734106, 48.865581006454285], [2.4073481808316233, 48.86557154855974], [2.40736862924623, 48.86556390830494], [2.407397357138374, 48.86555653747408], [2.40742396912166, 48.86555302601559], [2.407455039866572, 48.865552042184625], [2.407479180854269, 48.865553527798205], [2.407505702199651, 48.86555798491534], [2.4075232531104374, 48.865562397620174], [2.407543524067921, 48.86557023857707], [2.407764406491943, 48.86565989957361], [2.407852686532392, 48.8656960823997], [2.4079033730466666, 48.865730257123346], [2.4079242006534503, 48.86574994056267], [2.4079364530460934, 48.86576502822569], [2.4079493330684154, 48.86578558337401], [2.4079610853698803, 48.86581432951511], [2.4079715507724964, 48.865865153448965], [2.4080063539894887, 48.86605202379419], [2.4080540495771094, 48.86631910059664], [2.408027041862806, 48.86632693605434]]], ""type"": ""Polygon""}";48.86581951614545, 2.4077040105062992
EC413193;75015;2024-09-16;2025-02-14;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;10.05;Construction ou réhabilitation d'immeuble;EMPRISE_CHAUSSEE;STATIONNEMENT_PAYANT;868171;258516;"{""coordinates"": [[[2.3055273245390655, 48.83322585111196], [2.3055171907967518, 48.833209853555545], [2.305452820677368, 48.83322632955803], [2.3054636329237, 48.83324324122681], [2.3055273245390655, 48.83322585111196]]], ""type"": ""Polygon""}";48.83322639735864, 2.3054899375802593
EC413329;75017;2024-10-21;2025-03-28;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;33.09;Construction ou réhabilitation d'immeuble;EMPRISE_TROTTOIR;;882246;269855;"{""coordinates"": [[[2.294064370708131, 48.88167197245275], [2.29418391892788, 48.88156247980859], [2.294158519070408, 48.881551629755286], [2.2940400207968175, 48.88166021663933], [2.294064370708131, 48.88167197245275]]], ""type"": ""Polygon""}";48.88161156769122, 2.294111741275668
EC413375;75007;2024-09-30;2024-12-20;Opérateurs de réseau (gaz-électricité-RATP-etc);EAU DE PARIS;79.85;Travaux sur réseau d'eau;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;STATIONNEMENT_PAYANT;882292;269893;"{""coordinates"": [[[2.3263199215027575, 48.85918396359087], [2.326276323962245, 48.85919328095181], [2.326391057387712, 48.85939337690921], [2.3264339903493214, 48.85938223458011], [2.3263199215027575, 48.85918396359087]]], ""type"": ""Polygon""}";48.85928835104568, 2.32635536612993
EC398157;75008;2024-04-30;2024-11-29;Opérateurs de réseau (gaz-électricité-RATP-etc);GRDF;1.2;Travaux sur réseau de gaz;EMPRISE_TROTTOIR;;869778;259790;"{""coordinates"": [[[2.303349275198467, 48.866752693050856], [2.303358344533019, 48.86674546022458], [2.303346696242594, 48.86673901694844], [2.303336943265509, 48.86674579072463], [2.303349275198467, 48.866752693050856]]], ""type"": ""Polygon""}";48.866745780023614, 2.3033477725561182
EC399211;75018;2024-09-16;2024-12-20;Opérateurs de réseau (gaz-électricité-RATP-etc);CPCU;294.45;Travaux sur réseau de chauffage urbain;EMPRISE_TROTTOIR;;870680;260485;"{""coordinates"": [[[2.3657094014337536, 48.894781105484434], [2.365670559035407, 48.89480442592397], [2.36556985981193, 48.89485056622804], [2.365491913659471, 48.89487140236444], [2.3653829616301896, 48.89488638325463], [2.365316097292167, 48.894895136300185], [2.3653140812398994, 48.8949660836594], [2.3657191668133404, 48.894924212736775], [2.3657094014337536, 48.894781105484434]]], ""type"": ""Polygon""}";48.894895428169164, 2.365539802538834
EC399213;75018;2024-09-16;2024-12-20;Opérateurs de réseau (gaz-électricité-RATP-etc);CPCU;119.87;Travaux sur réseau de chauffage urbain;EMPRISE_TROTTOIR;;870680;260485;"{""coordinates"": [[[2.3650371302525492, 48.89493008528471], [2.3648428942231274, 48.89495409947336], [2.364897107333271, 48.895039005692276], [2.364993311286914, 48.89503116838374], [2.3650471508523117, 48.894957838331386], [2.3650371302525492, 48.89493008528471]]], ""type"": ""Polygon""}";48.89498248939958, 2.3649492995375376
EC399218;75018;2024-09-16;2024-12-20;Opérateurs de réseau (gaz-électricité-RATP-etc);CPCU;26.53;Travaux sur réseau de chauffage urbain;EMPRISE_TROTTOIR;;870680;260485;"{""coordinates"": [[[2.365034536683333, 48.89565237082079], [2.3650474429755093, 48.89570309694122], [2.36511139130603, 48.89569755444113], [2.3650944667200564, 48.895646047999556], [2.365034536683333, 48.89565237082079]]], ""type"": ""Polygon""}";48.895675010187375, 2.365072147880467
EC399683;75007;2024-06-17;2024-11-07;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;20.23;Construction ou réhabilitation d'immeuble;EMPRISE_CHAUSSEE,EMPRISE_PISTE_CYCLABLE;ZONE_LIVRAISON;871066;260793;"{""coordinates"": [[[2.3324093054131825, 48.85775249081969], [2.332397820264012, 48.85773330112295], [2.3322855979830286, 48.857766371912724], [2.332301242358681, 48.85778421871158], [2.3324093054131825, 48.85775249081969]]], ""type"": ""Polygon""}";48.85775902203346, 2.3323484967806767
EC413482;75003;2024-10-01;2024-11-29;Opérateurs de réseau (gaz-électricité-RATP-etc);GRDF;2.95;Travaux sur réseau de gaz;EMPRISE_TROTTOIR;;882406;269991;"{""coordinates"": [[[2.3625495568805257, 48.859501149469004], [2.362527478737832, 48.85951096695718], [2.362539878873519, 48.85952303840605], [2.3625588006908056, 48.859514859802275], [2.3625495568805257, 48.859501149469004]]], ""type"": ""Polygon""}";48.85951231933797, 2.3625438076492604
EC399840;75018;2024-09-30;2025-01-30;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;18.3;Construction ou réhabilitation d'immeuble;EMPRISE_TROTTOIR;;871242;260929;"{""coordinates"": [[[2.3374610687022237, 48.889662289275485], [2.3375959967297444, 48.88966781658306], [2.337597928802441, 48.88965166279259], [2.337461628082411, 48.88964544440418], [2.3374610687022237, 48.889662289275485]]], ""type"": ""Polygon""}";48.889656770190115, 2.337528725438172
EC413615;75011;2024-09-23;2024-11-15;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;5.56;Construction ou réhabilitation d'immeuble;EMPRISE_TROTTOIR;;882521;270091;"{""coordinates"": [[[2.3731412077493688, 48.85214842968124], [2.373209751267421, 48.85212920805416], [2.373202266312889, 48.8521205170697], [2.3731378614015615, 48.85213976037512], [2.3731412077493688, 48.85214842968124]]], ""type"": ""Polygon""}";48.85213432614773, 2.373173454432983
EC400917;75003;2024-09-02;2025-04-30;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;54.38;Construction ou réhabilitation d'immeuble;EMPRISE_CHAUSSEE;;870516;260361;"{""coordinates"": [[[2.3598706309618644, 48.86268549239268], [2.3599701911346087, 48.86277102651948], [2.3600195756466795, 48.862746195281716], [2.359920009105287, 48.862661065865765], [2.3598706309618644, 48.86268549239268]]], ""type"": ""Polygon""}";48.8627159946843, 2.3599451403014005
EC413625;75015;2024-09-24;2024-12-20;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;19.5;Construction ou réhabilitation d'immeuble;EMPRISE_CHAUSSEE;STATIONNEMENT_PAYANT;882527;270096;"{""coordinates"": [[[2.2963783736989347, 48.84689491759512], [2.2964983679392046, 48.84684826451783], [2.2964868417323494, 48.84683316925899], [2.2963647716180633, 48.84688026519468], [2.2963783736989347, 48.84689491759512]]], ""type"": ""Polygon""}";48.846864206693965, 2.296431888271103
EC401010;75014;2024-06-10;2024-11-01;Tiers (travaux sur bâtiment);PERSONNE PHYSIQUE;2.16;Construction ou réhabilitation d'immeuble;EMPRISE_TROTTOIR;;871996;261499;"{""coordinates"": [[[2.3342286195883095, 48.83002099206529], [2.334213216700232, 48.83001726295491], [2.3342096773690644, 48.83003509403282], [2.334222326575011, 48.830038443567794], [2.3342286195883095, 48.83002099206529]]], ""type"": ""Polygon""}";48.83002767306338, 2.33421855760871
EC413632;75012;2024-09-09;2024-11-08;Ville de Paris (Tvx sur espace ou édifice public);Direction de la Voirie et des Déplacements;43.2;Aménagement de voirie (VdP*);EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;;882532;270101;"{""coordinates"": [[[2.3757213295264688, 48.84606362007947], [2.3757297721094823, 48.846050003792044], [2.375842731523813, 48.84606607560646], [2.3758680591977654, 48.84602522401835], [2.3757343806752274, 48.84601086531501], [2.3757213295264688, 48.84606362007947]]], ""type"": ""Polygon""}";48.84603775004237, 2.37579329770078
EC401477;75012;2024-06-18;2024-12-20;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;0.57;Construction ou réhabilitation d'immeuble;EMPRISE_TROTTOIR;;872552;261958;"{""coordinates"": [[[2.397480269266136, 48.83976448637924], [2.3974848266390967, 48.839758133766175], [2.397476238189227, 48.83975513071122], [2.397471334764538, 48.83976148158092], [2.397480269266136, 48.83976448637924]]], ""type"": ""Polygon""}";48.8397598211556, 2.3974781440609254
EC413755;75014;2024-09-23;2024-10-29;Opérateurs de réseau (gaz-électricité-RATP-etc);ENEDIS;82.1;Travaux sur réseau électrique;EMPRISE_TROTTOIR;;882658;270202;"{""coordinates"": [[[2.3362854767297225, 48.824420417655574], [2.33631370540393, 48.82442421680966], [2.336335060696459, 48.82437196631113], [2.3363863990904536, 48.82434811639078], [2.336438033889437, 48.82435523369945], [2.3364692688451734, 48.82428527796495], [2.3364155652333354, 48.82427815008833], [2.3363169567419817, 48.8243313371373], [2.3362854767297225, 48.824420417655574]]], ""type"": ""Polygon""}";48.82433670052635, 2.336377273793603
EC401532;75020;2024-05-22;2024-12-31;Opérateurs de réseau (gaz-électricité-RATP-etc);ENEDIS;138.42;Travaux sur réseau électrique;EMPRISE_TROTTOIR;;872597;261994;"{""coordinates"": [[[2.41184981930324, 48.865273735380235], [2.411876383371195, 48.86527454851731], [2.411878359544516, 48.865252245632114], [2.4118914868343992, 48.86518992570049], [2.4119089534552045, 48.86514060544654], [2.4119266406234225, 48.865105435571394], [2.4119597277793066, 48.86504799548318], [2.41200280074128, 48.86499265313801], [2.4120610006516388, 48.86493463041145], [2.412180387459966, 48.864844371898734], [2.41222937986142, 48.86481478683192], [2.4123092439605234, 48.86477123641493], [2.4122907790663826, 48.864756118684234], [2.412175808518375, 48.86482203680499], [2.4120512628273074, 48.86491067544319], [2.411960075677183, 48.86500244207449], [2.4119281541876574, 48.86504827652694], [2.41188386994609, 48.865132054484846], [2.411862422083748, 48.8651977483205], [2.4118518103648867, 48.865251201438475], [2.41184981930324, 48.865273735380235]]], ""type"": ""Polygon""}";48.86499550390784, 2.412024935162574
EC413879;75009;2024-10-07;2024-12-13;Ville de Paris (Tvx sur espace ou édifice public);Section de l'Assainissement de Paris;6.48;Travaux sur réseau d'assainissement (VdP*);EMPRISE_TROTTOIR;;882743;270273;"{""coordinates"": [[[2.3328332206260387, 48.870863880745894], [2.332861641593029, 48.8708680241384], [2.332871467584506, 48.870841895477945], [2.332843053910519, 48.870837183744456], [2.3328332206260387, 48.870863880745894]]], ""type"": ""Polygon""}";48.87085272355678, 2.332852303232839
EC402111;75019;2024-09-09;2024-12-13;Opérateurs de réseau (gaz-électricité-RATP-etc);ENEDIS;118.1;Travaux sur réseau électrique;EMPRISE_TROTTOIR;;873137;262418;"{""coordinates"": [[[2.3939232962087535, 48.88123625394715], [2.3939303439858928, 48.88122399582056], [2.3938262401255725, 48.88121117406225], [2.3937533328395175, 48.88124677799056], [2.393611268835232, 48.88176652882697], [2.393675081208045, 48.88180054799738], [2.39368690307256, 48.881793322420194], [2.3936340940367247, 48.881763001259664], [2.393774697081704, 48.88125007338927], [2.3938336810704435, 48.88122441656092], [2.3939232962087535, 48.88123625394715]]], ""type"": ""Polygon""}";48.88147969636244, 2.393713865654092
EC413901;75017;2024-09-20;2026-09-30;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;359.82;Construction ou réhabilitation d'immeuble;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;DEUX_ROUES,STATIONNEMENT_PAYANT;879337;267429;"{""coordinates"": [[[2.2987008442858627, 48.88008514162062], [2.2987798941284305, 48.88002170674865], [2.2987746289237183, 48.88000159370628], [2.2984690489500763, 48.87982636621003], [2.2984080224885823, 48.87983604968887], [2.298396149425962, 48.87984419555538], [2.29835634245938, 48.879819771879305], [2.29836266150885, 48.879812963156844], [2.298338610129065, 48.87980049857208], [2.298358878754122, 48.879785556158716], [2.298125407322782, 48.87965137161595], [2.2980865600923592, 48.879658446478466], [2.298144252788937, 48.87969073369398], [2.2981183561158276, 48.87971169561849], [2.2983079802607067, 48.87981602148019], [2.2982937333332556, 48.8798270960553], [2.2984049974044, 48.879887724080554], [2.2984199492356607, 48.87987665272444], [2.2986914477252047, 48.88002562599101], [2.2987008442858627, 48.88008514162062]]], ""type"": ""Polygon""}";48.879869901611016, 2.298462208130489
EC402131;75005;2024-07-22;2024-11-08;Opérateurs de réseau (gaz-électricité-RATP-etc);CPCU;235.58;Travaux sur réseau de chauffage urbain;EMPRISE_CHAUSSEE;STATIONNEMENT_PAYANT;873146;262427;"{""coordinates"": [[[2.3507613143312636, 48.843546445460426], [2.3505430876948235, 48.84356347571339], [2.349868240105799, 48.843682761020055], [2.349879061892876, 48.8437001235518], [2.349905219622284, 48.84370482006854], [2.3504279113804194, 48.84361567350075], [2.3507705633108054, 48.843579282789705], [2.3507613143312636, 48.843546445460426]]], ""type"": ""Polygon""}";48.84361777803922, 2.3503459714581596
EC414008;75016;2024-10-07;2024-12-07;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;9.95;Construction ou réhabilitation d'immeuble;EMPRISE_CHAUSSEE;STATIONNEMENT_PAYANT;882839;270336;"{""coordinates"": [[[2.2658928835360705, 48.84968488041398], [2.2659176063812834, 48.849693228920216], [2.2659526226526583, 48.84965655898622], [2.265929299421181, 48.84964685293807], [2.2658928835360705, 48.84968488041398]]], ""type"": ""Polygon""}";48.84967036207222, 2.2659230194866113
EC402253;75014;2024-06-17;2024-11-08;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;48.45;Construction ou réhabilitation d'immeuble;EMPRISE_TROTTOIR;;872417;261844;"{""coordinates"": [[[2.3254332090568184, 48.823686911991295], [2.3254679350332, 48.82383073529043], [2.3255080076745167, 48.82382513243932], [2.3254735439243133, 48.82368240427721], [2.3254332090568184, 48.823686911991295]]], ""type"": ""Polygon""}";48.82375629985342, 2.325470648473404
EC414114;75007;2024-10-17;2024-11-06;Ville de Paris (Tvx sur espace ou édifice public);Direction de la Voirie et des Déplacements;1983.76;Aménagement de voirie (VdP*);EMPRISE_CHAUSSEE;;882925;270398;"{""coordinates"": [[[2.3115611370494182, 48.850676086712845], [2.310244191952114, 48.85154008212717], [2.310171771776881, 48.851589755331865], [2.310102472639387, 48.85161212485246], [2.310232229311769, 48.85171396542976], [2.311498888740297, 48.850896128335094], [2.3115335669371784, 48.850882666608314], [2.311585908137916, 48.85089025348697], [2.3115611370494182, 48.850676086712845]]], ""type"": ""Polygon""}";48.851205663274925, 2.3108851228780245
EC402303;75020;2024-07-01;2024-10-31;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;8.7;Construction ou réhabilitation d'immeuble;EMPRISE_CHAUSSEE;STATIONNEMENT_PAYANT;873283;262560;"{""coordinates"": [[[2.398072357877729, 48.87236418971002], [2.398048751204675, 48.87237591073356], [2.398112769424101, 48.87239148715985], [2.3981353189710384, 48.872381581960354], [2.398072357877729, 48.87236418971002]]], ""type"": ""Polygon""}";48.87237809578659, 2.398091696205166
EC414139;75008;2024-10-14;2024-11-09;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;58.24;Construction ou réhabilitation d'immeuble;EMPRISE_TROTTOIR;;882941;270412;"{""coordinates"": [[[2.297790737433145, 48.872547960119626], [2.297487777865351, 48.87264408498078], [2.297502699056254, 48.87266375305713], [2.297803600216292, 48.872566705049245], [2.297790737433145, 48.872547960119626]]], ""type"": ""Polygon""}";48.872606158081865, 2.2976445166831145
EC402357;75011;2024-06-10;2024-12-30;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;172.23;Construction ou réhabilitation d'immeuble;EMPRISE_CHAUSSEE;;871210;262579;"{""coordinates"": [[[2.374424723758506, 48.85838918827601], [2.374447079998551, 48.858366537258895], [2.3738350076739, 48.858132010341684], [2.373806392719413, 48.85815872682783], [2.374424723758506, 48.85838918827601]]], ""type"": ""Polygon""}";48.858257989807434, 2.3741186884086543
EC414203;75018;2024-09-16;2024-10-31;Opérateurs de réseau (gaz-électricité-RATP-etc);ENEDIS;131.45;Travaux sur réseau électrique;EMPRISE_TROTTOIR;;882988;270451;"{""coordinates"": [[[2.362581650029586, 48.89874687724541], [2.362993870831367, 48.898735916213035], [2.362995089267702, 48.89869898869306], [2.3625713956024486, 48.898706853474806], [2.362581650029586, 48.89874687724541]]], ""type"": ""Polygon""}";48.898722142118984, 2.362782462706394
EC402808;75020;2024-09-16;2024-11-15;Opérateurs de réseau (gaz-électricité-RATP-etc);ENEDIS;10.33;Travaux sur réseau électrique;EMPRISE_CHAUSSEE;DEUX_ROUES;873692;262876;"{""coordinates"": [[[2.4012620628209786, 48.868233801941294], [2.401406269322951, 48.86817851430277], [2.401398744600815, 48.868172557231475], [2.4012628638345084, 48.8682242441939], [2.4012620628209786, 48.868233801941294]]], ""type"": ""Polygon""}";48.86820252602057, 2.401331958958488
EC414245;75018;2024-09-30;2024-11-08;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;19.11;Construction ou réhabilitation d'immeuble;EMPRISE_CHAUSSEE;;882947;270418;"{""coordinates"": [[[2.338034721380059, 48.890721768807154], [2.3381530127175, 48.89075976174563], [2.338169072796233, 48.890745733812345], [2.3380466629813874, 48.89070589698939], [2.338034721380059, 48.890721768807154]]], ""type"": ""Polygon""}";48.89073315861493, 2.338100647223962
EC402840;75001;2024-09-18;2024-11-15;Opérateurs de réseau (gaz-électricité-RATP-etc);AUTRES CONCESSIONNAIRES;59.06;Autres travaux;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;AUTRE;873728;262903;"{""coordinates"": [[[2.346868635853784, 48.8578857662561], [2.346661383713032, 48.85791790637018], [2.3466921433476124, 48.85795984734228], [2.346884573801022, 48.85790625321446], [2.346868635853784, 48.8578857662561]]], ""type"": ""Polygon""}";48.857919886396665, 2.3467653691591823
EC414257;75011;2024-10-24;2024-11-20;Opérateurs de réseau (gaz-électricité-RATP-etc);GRDF;1.11;Travaux sur réseau de gaz;EMPRISE_TROTTOIR;;883031;270483;"{""coordinates"": [[[2.3754242275952993, 48.85545403782098], [2.3754319207997363, 48.85544542622963], [2.3754188542123424, 48.855441714760396], [2.3754118560442707, 48.855449874907706], [2.3754242275952993, 48.85545403782098]]], ""type"": ""Polygon""}";48.855447770997834, 2.3754217922867333
EC402916;75012;2024-06-03;2026-01-30;Ville de Paris (Tvx sur espace ou édifice public);Direction de la Voirie et des Déplacements;18786.33;Aménagement de voirie (VdP*);EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;;873802;262957;"{""coordinates"": [[[2.39481328044292, 48.84008935658742], [2.395257796051726, 48.84030654010085], [2.3955033198973092, 48.84007463085208], [2.396908760541896, 48.83976114322479], [2.3970233880778715, 48.83939378085873], [2.396702769964674, 48.838962292999064], [2.395241868683844, 48.83930099934029], [2.394447874273804, 48.83923869494981], [2.3942453820348137, 48.839091950668], [2.3939137208148247, 48.839137629258474], [2.393868852462383, 48.8391993319442], [2.3937873558853466, 48.83956321695357], [2.394531854638597, 48.83961070372735], [2.3945691738055155, 48.83972382447684], [2.39468201796799, 48.839986689647446], [2.39481328044292, 48.84008935658742]]], ""type"": ""Polygon""}";48.83956152187201, 2.395527931257692
EC414339;75016;2024-09-23;2024-12-27;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;2.5;Construction ou réhabilitation d'immeuble;EMPRISE_TROTTOIR;;883117;270553;"{""coordinates"": [[[2.296522724893943, 48.86649817245531], [2.2965327849698554, 48.86649436078913], [2.2965085816535558, 48.866472133225095], [2.2964992126666304, 48.866475948951496], [2.296522724893943, 48.86649817245531]]], ""type"": ""Polygon""}";48.86648524319727, 2.2965159319791937
EC402929;75015;2024-09-16;2024-10-31;Opérateurs de réseau (gaz-électricité-RATP-etc);ENEDIS;20.23;Travaux sur réseau électrique;EMPRISE_TROTTOIR;;873810;262963;"{""coordinates"": [[[2.298676645291327, 48.84281937879704], [2.298690254683906, 48.84282059718088], [2.2987352952354856, 48.842639394024054], [2.2987208142514044, 48.84263885405485], [2.2986993953955843, 48.842730941552844], [2.298676645291327, 48.84281937879704]]], ""type"": ""Polygon""}";48.84272877506615, 2.298706223599494
