Référence Chantier;Code postal arrondissement - Commune;Date début du chantier;Date fin du chantier;Responsable du chantier;Maîtrise d'ouvrage principale;Surface (m2);Synthèse - Nature du chantier;Encombrement espace public;Impact stationnement;Identifiant demande CITE;Identifiant Chantier CITE;geo_shape;geo_point_2d
EC388306;75020;2024-05-02;2024-10-31;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;105.75;Construction ou réhabilitation d'immeuble;EMPRISE_TROTTOIR;;861426;253529;"{""coordinates"": [[[2.398820919780797, 48.86459461848419], [2.398934265726741, 48.86470083150714], [2.398975748972245, 48.86469466441331], [2.3988761106740357, 48.86459671686869], [2.3989924628646206, 48.86444247794337], [2.398960851260775, 48.864430480274216], [2.398820919780797, 48.86459461848419]]], ""type"": ""Polygon""}";48.86457016244334, 2.3989055833597948
EC330865;75009;2023-04-17;2025-05-10;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;52.15;Construction ou réhabilitation d'immeuble;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;STATIONNEMENT_PAYANT,ZONE_LIVRAISON;817708;217888;"{""coordinates"": [[[2.3348830185478615, 48.88080680730692], [2.334957219014897, 48.88071375721452], [2.3349295496688893, 48.88070221705056], [2.334894862926056, 48.880703849099724], [2.3348290441355517, 48.880789431795904], [2.334853098602192, 48.880797989495], [2.3348830185478615, 48.88080680730692]]], ""type"": ""Polygon""}";48.880751817472884, 2.3348927943601376
EC330948;75019;2023-03-30;2024-10-31;Ville de Paris (Tvx sur espace ou édifice public);Direction de la Voirie et des Déplacements;4101.65;Aménagement de voirie (VdP*);EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;AUTRE,STATIONNEMENT_PAYANT,ZONE_LIVRAISON;817794;217942;"{""coordinates"": [[[2.3742980931712783, 48.888461715826956], [2.374364903951573, 48.88841835152948], [2.376116976314066, 48.88834006560927], [2.3773237642222087, 48.88812777766837], [2.3773797849590816, 48.88806249842688], [2.3770995140052675, 48.887940827280865], [2.377037576624054, 48.88803886134731], [2.3760192519009666, 48.88819748580667], [2.375217875713925, 48.888229735870226], [2.3740411051651944, 48.88824180380717], [2.3742980931712783, 48.888461715826956]]], ""type"": ""Polygon""}";48.888249389474595, 2.375692288311732
EC335280;75008;2023-06-12;2025-01-31;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;69.57;Construction ou réhabilitation d'immeuble;EMPRISE_CHAUSSEE;AUTRE,GIG_GIC,STATIONNEMENT_PAYANT;821199;220699;"{""coordinates"": [[[2.3038229342628602, 48.87869687727994], [2.3038393015881233, 48.87871199859722], [2.3042160721195746, 48.87851884020261], [2.3042003763910928, 48.87850508803303], [2.3038229342628602, 48.87869687727994]]], ""type"": ""Polygon""}";48.87860941670189, 2.3040172945745523
EC335715;75011;2023-05-02;2025-04-30;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;276.75;Construction ou réhabilitation d'immeuble;EMPRISE_CHAUSSEE;AUTRE;821580;221017;"{""coordinates"": [[[2.379271136146903, 48.8579705517357], [2.379296575715597, 48.857977313683605], [2.379265463324539, 48.85802708047867], [2.3793336954121056, 48.85804395451064], [2.379358371201536, 48.85800442396545], [2.379412178709547, 48.85801571823325], [2.379544863993006, 48.85781033065842], [2.3794196074536815, 48.85777902687903], [2.3793118081913747, 48.85794562234063], [2.3792910879142974, 48.85794028875655], [2.379271136146903, 48.8579705517357]]], ""type"": ""Polygon""}";48.85791009161558, 2.3794032640109934
EC336042;75001;2023-06-23;2025-01-22;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;82.89;Construction ou réhabilitation d'immeuble;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;ZONE_LIVRAISON;821840;221216;"{""coordinates"": [[[2.3383360511722673, 48.86277896291397], [2.338285506226821, 48.862789159950694], [2.3383562406098046, 48.86291843920811], [2.3384276529969985, 48.86304555652646], [2.3384495402908874, 48.863041265319275], [2.3383882971146575, 48.86292999047675], [2.338369888260638, 48.862898022130565], [2.3384015637872655, 48.862891593335924], [2.3383360511722673, 48.86277896291397]]], ""type"": ""Polygon""}";48.86288700869642, 2.3383625423153385
EC340219;75004;2023-07-03;2026-09-11;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;320.21;Construction ou réhabilitation d'immeuble;EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;STATIONNEMENT_PAYANT;825238;223798;"{""coordinates"": [[[2.362053358185081, 48.850127187737066], [2.362294675337714, 48.85025506655034], [2.362315495591876, 48.850245159599055], [2.362358274039826, 48.8502453875891], [2.3624117447393416, 48.85027390510572], [2.3624701811359152, 48.850235054965275], [2.362473174524421, 48.85021594522398], [2.362179711359448, 48.85006410966316], [2.3621285656643933, 48.85007112267948], [2.362053358185081, 48.850127187737066]]], ""type"": ""Polygon""}";48.85016896636185, 2.3622624423059304
EC343523;75005;2023-07-20;2024-11-30;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;173.48;Construction ou réhabilitation d'immeuble;EMPRISE_TROTTOIR;;827752;225835;"{""coordinates"": [[[2.34924160181115, 48.83912440674106], [2.3492311892279756, 48.83911364764364], [2.3476303721767495, 48.83975095389106], [2.347534689449764, 48.83987201721143], [2.3475453473758554, 48.83987480761489], [2.34764169095689, 48.83975602508308], [2.34924160181115, 48.83912440674106]]], ""type"": ""Polygon""}";48.8394449847981, 2.348422183691187
EC347408;75010;2023-09-25;2024-11-15;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;73.6;Construction ou réhabilitation d'immeuble;EMPRISE_TROTTOIR;STATIONNEMENT_PAYANT;830811;228308;"{""coordinates"": [[[2.366133764403769, 48.88299345683872], [2.3661107567549675, 48.8829550856893], [2.3659239586357894, 48.88304289082766], [2.3659594488730606, 48.88307677481671], [2.366133764403769, 48.88299345683872]]], ""type"": ""Polygon""}";48.88301706153035, 2.3660313950981973
EC353661;75020;2023-09-04;2025-01-03;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;20.9;Construction ou réhabilitation d'immeuble;EMPRISE_TROTTOIR;;832504;232164;"{""coordinates"": [[[2.410356657039201, 48.856588676015036], [2.4104930867899372, 48.8565612292519], [2.410487411714419, 48.856544352945896], [2.410343725450018, 48.856572674083424], [2.410356657039201, 48.856588676015036]]], ""type"": ""Polygon""}";48.8565667373851, 2.4104198177742324
